aid,sid,title,path,url,uid,timer,timestamp
33918,#NAME?,Vlag,flag/flag/stop_met_oefenen/7323,http://leen.wiski.be/node/7323/take/1,1985,66,1650619184
33909,gEU4tqUQuN_yKDCteHJB8tkiir2yCknf6EQzQvSlyYs,Vlag,flag/flag/stop_met_oefenen/7294,http://leen.wiski.be/node/7294/take/2,1988,90,1650619115
33882,#NAME?,Vlag,flag/flag/stop_met_oefenen/7318,http://leen.wiski.be/node/7318/take/1,1985,75,1650619016
33878,xzgqAbhyZh8KFA5mnQorR9I_LUh7av3QjtXW_ZRyrdA,Vlag,flag/flag/stop_met_oefenen/7296,http://leen.wiski.be/node/7296/take/1,1986,73,1650619008
33873,xzgqAbhyZh8KFA5mnQorR9I_LUh7av3QjtXW_ZRyrdA,Vlag,flag/flag/stop_met_oefenen/7318,http://leen.wiski.be/node/7318/take/2,1986,64,1650618991
33837,xzgqAbhyZh8KFA5mnQorR9I_LUh7av3QjtXW_ZRyrdA,Vlag,flag/flag/stop_met_oefenen/7319,http://leen.wiski.be/node/7319/take/2,1986,161,1650618887
33830,gEU4tqUQuN_yKDCteHJB8tkiir2yCknf6EQzQvSlyYs,Vlag,flag/flag/stop_met_oefenen/7324,http://leen.wiski.be/node/7324/take/1,1988,77,1650618831
33825,gEU4tqUQuN_yKDCteHJB8tkiir2yCknf6EQzQvSlyYs,Vlag,flag/flag/stop_met_oefenen/7318,http://leen.wiski.be/node/7318/take/1,1988,105,1650618781
33812,gEU4tqUQuN_yKDCteHJB8tkiir2yCknf6EQzQvSlyYs,Vlag,flag/flag/stop_met_oefenen/7347,http://leen.wiski.be/node/7347/take/1,1988,613,1650618681
33799,xzgqAbhyZh8KFA5mnQorR9I_LUh7av3QjtXW_ZRyrdA,Vlag,flag/flag/stop_met_oefenen/7318,http://leen.wiski.be/node/7318/take/1,1986,565,1650618557
33784,gEU4tqUQuN_yKDCteHJB8tkiir2yCknf6EQzQvSlyYs,Vlag,flag/flag/stop_met_oefenen/7346,http://leen.wiski.be/node/7346/take/1,1988,81,1650618436
33777,gEU4tqUQuN_yKDCteHJB8tkiir2yCknf6EQzQvSlyYs,Vlag,flag/flag/stop_met_oefenen/7345,http://leen.wiski.be/node/7345/take/1,1988,664,1650618378
33321,_TytA3tj9rPZ4DqYN5Mp2BHYch4WVPYFaqlSSMzWdGs,Vlag,flag/flag/stop_met_oefenen/7298,https://leen.wiski.be/node/7298/take/2,1982,539,1650614976
33261,YyLoOiMxNuAXFWJfRhEmUgu0jFr9sp2mRV47JcbnFZU,Vlag,flag/flag/stop_met_oefenen/7296,http://leen.wiski.be/node/7296/take/1,1983,93,1650614392
32554,ForeiNItKZq2VSWao6pGST0wecEfutYT9KPYkABG8h0,Vlag,flag/flag/stop_met_oefenen/7287,http://leen.wiski.be/node/7287/take/1,1840,74,1650369913
32538,5KYzHCPTSQ3XwLLZWf2OruObYbRplY2zoiVcW42UNas,Vlag,flag/flag/stop_met_oefenen/7287,http://leen.wiski.be/node/7287/take/2,1840,62,1650369885
32496,5KYzHCPTSQ3XwLLZWf2OruObYbRplY2zoiVcW42UNas,Vlag,flag/flag/stop_met_oefenen/7287,http://leen.wiski.be/node/7287/take/1,1840,73,1650369784
32052,RUO3DtOkCAzZO1lDh2fZ5bwJcd2_aSUsaIWv6aX6MJg,Vlag,flag/flag/stop_met_oefenen/7295,http://leen.wiski.be/node/7295/take/1,1,90,1650145729
31253,vucJCLqTBmJ7AnVaImUZpVMM5iZDHHEEcTAFVQ8qUTA,Vlag,flag/flag/gamification_mechanic_inschakele/7406,http://localhost:3205/node/7406,1,619,1650028576
31252,vucJCLqTBmJ7AnVaImUZpVMM5iZDHHEEcTAFVQ8qUTA,Vlag,flag/unflag/gamification_mechanic_inschakele/7406,http://localhost:3205/node/7406,1,642,1650028574
30933,vucJCLqTBmJ7AnVaImUZpVMM5iZDHHEEcTAFVQ8qUTA,Vlag,flag/flag/stop_met_oefenen/7325,http://localhost:3205/node/7325/take/2,1,225,1650023477
30906,vucJCLqTBmJ7AnVaImUZpVMM5iZDHHEEcTAFVQ8qUTA,Vlag,flag/flag/stop_met_oefenen/7288,http://localhost:3205/node/7288/take/1,1,207,1650022499
30901,vucJCLqTBmJ7AnVaImUZpVMM5iZDHHEEcTAFVQ8qUTA,Vlag,flag/flag/stop_met_oefenen/7295,http://localhost:3205/node/7295/take/1,1,225,1650022492
30896,vucJCLqTBmJ7AnVaImUZpVMM5iZDHHEEcTAFVQ8qUTA,Vlag,flag/flag/stop_met_oefenen/7353,http://localhost:3205/node/7353/take/1,1,362,1650022475
30891,vucJCLqTBmJ7AnVaImUZpVMM5iZDHHEEcTAFVQ8qUTA,Vlag,flag/flag/stop_met_oefenen/7294,http://localhost:3205/node/7294/take/1,1,304,1650022463
29871,-3CRo03MrlfXtsgqPggj0dhYG7CGsuZb5OBehvJIETU,Vlag,flag/flag/stop_met_oefenen/7288,http://localhost:3205/node/7288/take/1,1,228,1649407212
